cluster_id,doc_count,rel_freq
759,1,0.000020
758,1,0.000020
756,1,0.000020
753,1,0.000020
752,1,0.000020
751,1,0.000020
750,1,0.000020
749,1,0.000020
747,1,0.000020
780,1,0.000020
782,1,0.000020
810,1,0.000020
798,1,0.000020
809,1,0.000020
808,1,0.000020
807,1,0.000020
806,1,0.000020
805,1,0.000020
804,1,0.000020
803,1,0.000020
802,1,0.000020
801,1,0.000020
800,1,0.000020
799,1,0.000020
797,1,0.000020
783,1,0.000020
796,1,0.000020
795,1,0.000020
793,1,0.000020
792,1,0.000020
791,1,0.000020
789,1,0.000020
788,1,0.000020
787,1,0.000020
786,1,0.000020
785,1,0.000020
784,1,0.000020
874,1,0.000020
876,1,0.000020
744,1,0.000020
878,1,0.000020
978,1,0.000020
976,1,0.000020
975,1,0.000020
974,1,0.000020
973,1,0.000020
972,1,0.000020
971,1,0.000020
970,1,0.000020
969,1,0.000020
968,1,0.000020
967,1,0.000020
966,1,0.000020
965,1,0.000020
964,1,0.000020
961,1,0.000020
960,1,0.000020
959,1,0.000020
958,1,0.000020
957,1,0.000020
954,1,0.000020
953,1,0.000020
952,1,0.000020
950,1,0.000020
949,1,0.000020
948,1,0.000020
979,1,0.000020
980,1,0.000020
981,1,0.000020
998,1,0.000020
1010,1,0.000020
1009,1,0.000020
1008,1,0.000020
1007,1,0.000020
1006,1,0.000020
1005,1,0.000020
1003,1,0.000020
1002,1,0.000020
1001,1,0.000020
1000,1,0.000020
999,1,0.000020
997,1,0.000020
982,1,0.000020
995,1,0.000020
994,1,0.000020
993,1,0.000020
992,1,0.000020
990,1,0.000020
989,1,0.000020
987,1,0.000020
986,1,0.000020
985,1,0.000020
984,1,0.000020
983,1,0.000020
946,1,0.000020
944,1,0.000020
943,1,0.000020
892,1,0.000020
905,1,0.000020
904,1,0.000020
903,1,0.000020
902,1,0.000020
901,1,0.000020
898,1,0.000020
897,1,0.000020
896,1,0.000020
895,1,0.000020
894,1,0.000020
893,1,0.000020
891,1,0.000020
909,1,0.000020
890,1,0.000020
889,1,0.000020
888,1,0.000020
886,1,0.000020
885,1,0.000020
884,1,0.000020
883,1,0.000020
882,1,0.000020
881,1,0.000020
880,1,0.000020
879,1,0.000020
908,1,0.000020
910,1,0.000020
941,1,0.000020
926,1,0.000020
939,1,0.000020
938,1,0.000020
936,1,0.000020
935,1,0.000020
934,1,0.000020
933,1,0.000020
931,1,0.000020
930,1,0.000020
929,1,0.000020
928,1,0.000020
927,1,0.000020
925,1,0.000020
911,1,0.000020
924,1,0.000020
923,1,0.000020
921,1,0.000020
920,1,0.000020
919,1,0.000020
918,1,0.000020
917,1,0.000020
916,1,0.000020
915,1,0.000020
914,1,0.000020
913,1,0.000020
745,1,0.000020
743,1,0.000020
453,1,0.000020
601,1,0.000020
563,1,0.000020
560,1,0.000020
559,1,0.000020
557,1,0.000020
556,1,0.000020
553,1,0.000020
552,1,0.000020
550,1,0.000020
549,1,0.000020
548,1,0.000020
547,1,0.000020
545,1,0.000020
542,1,0.000020
540,1,0.000020
538,1,0.000020
537,1,0.000020
534,1,0.000020
533,1,0.000020
532,1,0.000020
531,1,0.000020
530,1,0.000020
529,1,0.000020
528,1,0.000020
527,1,0.000020
526,1,0.000020
564,1,0.000020
566,1,0.000020
567,1,0.000020
585,1,0.000020
599,1,0.000020
598,1,0.000020
597,1,0.000020
596,1,0.000020
594,1,0.000020
592,1,0.000020
591,1,0.000020
589,1,0.000020
588,1,0.000020
587,1,0.000020
586,1,0.000020
584,1,0.000020
568,1,0.000020
583,1,0.000020
582,1,0.000020
581,1,0.000020
578,1,0.000020
576,1,0.000020
574,1,0.000020
573,1,0.000020
572,1,0.000020
571,1,0.000020
570,1,0.000020
569,1,0.000020
525,1,0.000020
522,1,0.000020
521,1,0.000020
470,1,0.000020
485,1,0.000020
484,1,0.000020
482,1,0.000020
480,1,0.000020
479,1,0.000020
478,1,0.000020
477,1,0.000020
476,1,0.000020
474,1,0.000020
472,1,0.000020
471,1,0.000020
469,1,0.000020
487,1,0.000020
468,1,0.000020
467,1,0.000020
465,1,0.000020
464,1,0.000020
462,1,0.000020
461,1,0.000020
459,1,0.000020
458,1,0.000020
456,1,0.000020
455,1,0.000020
454,1,0.000020
486,1,0.000020
488,1,0.000020
520,1,0.000020
506,1,0.000020
518,1,0.000020
517,1,0.000020
516,1,0.000020
515,1,0.000020
514,1,0.000020
513,1,0.000020
512,1,0.000020
511,1,0.000020
509,1,0.000020
508,1,0.000020
1012,1,0.000020
505,1,0.000020
490,1,0.000020
504,1,0.000020
503,1,0.000020
502,1,0.000020
501,1,0.000020
499,1,0.000020
498,1,0.000020
496,1,0.000020
495,1,0.000020
494,1,0.000020
492,1,0.000020
491,1,0.000020
600,1,0.000020
602,1,0.000020
742,1,0.000020
603,1,0.000020
707,1,0.000020
706,1,0.000020
705,1,0.000020
704,1,0.000020
703,1,0.000020
702,1,0.000020
701,1,0.000020
700,1,0.000020
698,1,0.000020
696,1,0.000020
695,1,0.000020
694,1,0.000020
693,1,0.000020
691,1,0.000020
690,1,0.000020
687,1,0.000020
685,1,0.000020
684,1,0.000020
683,1,0.000020
681,1,0.000020
680,1,0.000020
679,1,0.000020
677,1,0.000020
676,1,0.000020
675,1,0.000020
708,1,0.000020
709,1,0.000020
710,1,0.000020
728,1,0.000020
741,1,0.000020
740,1,0.000020
739,1,0.000020
738,1,0.000020
736,1,0.000020
735,1,0.000020
734,1,0.000020
733,1,0.000020
731,1,0.000020
730,1,0.000020
729,1,0.000020
727,1,0.000020
711,1,0.000020
726,1,0.000020
725,1,0.000020
723,1,0.000020
722,1,0.000020
721,1,0.000020
720,1,0.000020
718,1,0.000020
717,1,0.000020
716,1,0.000020
714,1,0.000020
713,1,0.000020
674,1,0.000020
673,1,0.000020
672,1,0.000020
619,1,0.000020
635,1,0.000020
634,1,0.000020
633,1,0.000020
632,1,0.000020
630,1,0.000020
627,1,0.000020
626,1,0.000020
623,1,0.000020
622,1,0.000020
621,1,0.000020
620,1,0.000020
618,1,0.000020
637,1,0.000020
617,1,0.000020
616,1,0.000020
613,1,0.000020
612,1,0.000020
611,1,0.000020
610,1,0.000020
609,1,0.000020
608,1,0.000020
606,1,0.000020
605,1,0.000020
604,1,0.000020
636,1,0.000020
638,1,0.000020
671,1,0.000020
654,1,0.000020
669,1,0.000020
668,1,0.000020
667,1,0.000020
666,1,0.000020
665,1,0.000020
662,1,0.000020
659,1,0.000020
658,1,0.000020
657,1,0.000020
656,1,0.000020
655,1,0.000020
653,1,0.000020
639,1,0.000020
652,1,0.000020
651,1,0.000020
650,1,0.000020
649,1,0.000020
648,1,0.000020
646,1,0.000020
644,1,0.000020
643,1,0.000020
642,1,0.000020
641,1,0.000020
640,1,0.000020
1,1,0.000020
